stfdem,trstprt,political_efficacy_index,social_trust_index,hincfel,lrscale,eduyrs,agea,gndr,vote_clean,vote_binary,political_efficacy_index_z,social_trust_index_z,hincfel_z,lrscale_z,eduyrs_z,agea_z,gender_numeric,cluster,connection_profile
9.0,7.0,3.0,4.666666666666667,2.0,5.0,15.0,21.0,1.0,Voted,1,0.6757928778571621,-0.595997505595397,0.6688668369168803,0.25952744239745473,0.0723837192946684,-1.764556924967299,1.0,1,Connected democratic core
9.0,4.0,2.0,5.333333333333333,2.0,0.0,15.0,48.0,2.0,Voted,1,-0.7238256520170899,-0.18090087946113026,0.6688668369168803,-2.5657080064862274,0.0723837192946684,-0.25282361549463805,2.0,1,Connected democratic core
7.0,5.0,1.25,3.0,1.0,5.0,11.0,79.0,2.0,Voted,1,-1.773539549422779,-1.6337390709310649,-0.8684841111860602,0.25952744239745473,-1.130030740457407,1.482870184270269,2.0,0,At-risk democratic participants
6.0,4.0,3.5,5.666666666666667,1.0,7.0,18.0,61.0,1.0,Voted,1,1.3756021427942882,0.026647433606003672,-0.8684841111860602,1.3896216219509276,0.974194564108725,0.4750479779551616,1.0,1,Connected democratic core
7.0,0.0,2.5,5.666666666666667,1.0,6.0,16.0,60.0,1.0,Voted,1,-0.024016387079963866,0.026647433606003672,-0.8684841111860602,0.8245745321741912,0.37298733423268726,0.4190578553821001,1.0,0,At-risk democratic participants
8.0,5.0,2.25,7.333333333333333,3.0,5.0,12.0,75.0,2.0,Voted,1,-0.37392101954852686,1.064388998941671,2.206217785019821,0.25952744239745473,-0.8294271255193882,1.2589096939780229,2.0,1,Connected democratic core
9.0,8.0,3.5,6.0,1.0,4.0,17.0,37.0,2.0,Voted,1,1.3756021427942882,0.23419574667313706,-0.8684841111860602,-0.3055196473792817,0.6735909491707062,-0.8687149637983147,2.0,1,Connected democratic core
2.0,3.0,2.25,6.0,2.0,3.0,18.0,87.0,1.0,Voted,1,-0.37392101954852686,0.23419574667313706,0.6688668369168803,-0.8705667371560182,0.974194564108725,1.9307911648547609,1.0,0,At-risk democratic participants
2.0,1.0,2.25,6.666666666666667,2.0,6.0,12.0,24.0,1.0,Did not vote,0,-0.37392101954852686,0.6492923728074044,0.6688668369168803,0.8245745321741912,-0.8294271255193882,-1.5965865572481144,1.0,2,Disengaged non-voters
8.0,5.0,2.75,5.0,1.0,5.0,13.0,38.0,2.0,Voted,1,0.3258882453885992,-0.3884491925282636,-0.8684841111860602,0.25952744239745473,-0.5288235105813693,-0.8127248412252531,2.0,1,Connected democratic core
6.0,8.0,1.0,7.0,2.0,4.0,16.0,59.0,2.0,Voted,1,-2.123444181891342,0.8568406858745377,0.6688668369168803,-0.3055196473792817,0.37298733423268726,0.3630677328090386,2.0,1,Connected democratic core
5.0,3.0,1.5,6.666666666666667,2.0,4.0,15.0,20.0,1.0,Did not vote,0,-1.423634916954216,0.6492923728074044,0.6688668369168803,-0.3055196473792817,0.0723837192946684,-1.8205470475403605,1.0,2,Disengaged non-voters
5.0,5.0,1.5,7.0,3.0,5.0,13.0,41.0,1.0,Did not vote,0,-1.423634916954216,0.8568406858745377,2.206217785019821,0.25952744239745473,-0.5288235105813693,-0.6447544735060686,1.0,2,Disengaged non-voters
8.0,4.0,2.0,6.666666666666667,1.0,6.0,17.0,39.0,2.0,Voted,1,-0.7238256520170899,0.6492923728074044,-0.8684841111860602,0.8245745321741912,0.6735909491707062,-0.7567347186521917,2.0,1,Connected democratic core
9.0,4.0,1.75,5.666666666666667,2.0,2.0,13.0,60.0,2.0,Voted,1,-1.0737302844856529,0.026647433606003672,0.6688668369168803,-1.4356138269327547,-0.5288235105813693,0.4190578553821001,2.0,1,Connected democratic core
3.0,3.0,2.5,4.666666666666667,1.0,5.0,13.0,22.0,2.0,Did not vote,0,-0.024016387079963866,-0.595997505595397,-0.8684841111860602,0.25952744239745473,-0.5288235105813693,-1.7085668023942373,2.0,2,Disengaged non-voters
8.0,4.0,2.75,6.333333333333333,1.0,5.0,17.0,43.0,1.0,Voted,1,0.3258882453885992,0.4417440597402704,-0.8684841111860602,0.25952744239745473,0.6735909491707062,-0.5327742283599456,1.0,1,Connected democratic core
1.0,1.0,3.25,4.666666666666667,1.0,7.0,18.0,53.0,2.0,Voted,1,1.025697510325725,-0.595997505595397,-0.8684841111860602,1.3896216219509276,0.974194564108725,0.027126997370669537,2.0,0,At-risk democratic participants
8.0,5.0,3.25,6.333333333333333,1.0,4.0,15.0,24.0,1.0,Voted,1,1.025697510325725,0.4417440597402704,-0.8684841111860602,-0.3055196473792817,0.0723837192946684,-1.5965865572481144,1.0,1,Connected democratic core
6.0,7.0,2.0,6.666666666666667,1.0,6.0,18.0,30.0,1.0,Voted,1,-0.7238256520170899,0.6492923728074044,-0.8684841111860602,0.8245745321741912,0.974194564108725,-1.2606458218097452,1.0,1,Connected democratic core
8.0,4.0,1.0,6.333333333333333,1.0,3.0,12.0,73.0,2.0,Voted,1,-2.123444181891342,0.4417440597402704,-0.8684841111860602,-0.8705667371560182,-0.8294271255193882,1.1469294488318997,2.0,1,Connected democratic core
8.0,2.0,2.5,2.0,1.0,8.0,11.0,82.0,1.0,Voted,1,-0.024016387079963866,-2.2563840101324657,-0.8684841111860602,1.9546687117276642,-1.130030740457407,1.6508405519894533,1.0,0,At-risk democratic participants
6.0,4.0,2.75,6.333333333333333,2.0,4.0,13.0,63.0,2.0,Voted,1,0.3258882453885992,0.4417440597402704,0.6688668369168803,-0.3055196473792817,-0.5288235105813693,0.5870282231012847,2.0,1,Connected democratic core
7.0,5.0,3.0,6.333333333333333,1.0,5.0,20.0,40.0,1.0,Voted,1,0.6757928778571621,0.4417440597402704,-0.8684841111860602,0.25952744239745473,1.5754017939847627,-0.7007445960791301,1.0,1,Connected democratic core
9.0,3.0,2.0,2.0,1.0,5.0,16.0,29.0,2.0,Voted,1,-0.7238256520170899,-2.2563840101324657,-0.8684841111860602,0.25952744239745473,0.37298733423268726,-1.3166359443828068,2.0,0,At-risk democratic participants
3.0,3.0,2.25,7.0,1.0,2.0,17.0,48.0,1.0,Voted,1,-0.37392101954852686,0.8568406858745377,-0.8684841111860602,-1.4356138269327547,0.6735909491707062,-0.25282361549463805,1.0,0,At-risk democratic participants
8.0,7.0,3.5,5.333333333333333,1.0,4.0,19.0,40.0,2.0,Voted,1,1.3756021427942882,-0.18090087946113026,-0.8684841111860602,-0.3055196473792817,1.274798179046744,-0.7007445960791301,2.0,1,Connected democratic core
9.0,6.0,3.75,7.333333333333333,1.0,4.0,18.0,28.0,2.0,Voted,1,1.7255067752628512,1.064388998941671,-0.8684841111860602,-0.3055196473792817,0.974194564108725,-1.3726260669558683,2.0,1,Connected democratic core
9.0,5.0,4.5,8.0,2.0,6.0,15.0,68.0,1.0,Voted,1,2.7752206726685404,1.4794856250759383,0.6688668369168803,0.8245745321741912,0.0723837192946684,0.8669788359665922,1.0,1,Connected democratic core
7.0,7.0,3.0,6.666666666666667,2.0,3.0,19.0,55.0,2.0,Voted,1,0.6757928778571621,0.6492923728074044,0.6688668369168803,-0.8705667371560182,1.274798179046744,0.13910724251679257,2.0,1,Connected democratic core
8.0,6.0,1.5,7.0,1.0,4.0,11.0,89.0,1.0,Voted,1,-1.423634916954216,0.8568406858745377,-0.8684841111860602,-0.3055196473792817,-1.130030740457407,2.042771410000884,1.0,1,Connected democratic core
8.0,5.0,2.5,6.0,2.0,3.0,17.0,23.0,1.0,Voted,1,-0.024016387079963866,0.23419574667313706,0.6688668369168803,-0.8705667371560182,0.6735909491707062,-1.6525766798211758,1.0,1,Connected democratic core
6.0,5.0,3.5,6.666666666666667,1.0,3.0,20.0,64.0,1.0,Voted,1,1.3756021427942882,0.6492923728074044,-0.8684841111860602,-0.8705667371560182,1.5754017939847627,0.6430183456743461,1.0,1,Connected democratic core
9.0,8.0,4.0,6.333333333333333,2.0,5.0,20.0,33.0,1.0,Voted,1,2.0754114077314143,0.4417440597402704,0.6688668369168803,0.25952744239745473,1.5754017939847627,-1.0926754540905608,1.0,1,Connected democratic core
6.0,4.0,3.0,6.333333333333333,1.0,7.0,13.0,55.0,1.0,Voted,1,0.6757928778571621,0.4417440597402704,-0.8684841111860602,1.3896216219509276,-0.5288235105813693,0.13910724251679257,1.0,1,Connected democratic core
7.0,3.0,3.25,6.0,1.0,5.0,18.0,56.0,1.0,Voted,1,1.025697510325725,0.23419574667313706,-0.8684841111860602,0.25952744239745473,0.974194564108725,0.19509736508985406,1.0,1,Connected democratic core
9.0,7.0,3.25,7.0,1.0,3.0,13.0,50.0,2.0,Voted,1,1.025697510325725,0.8568406858745377,-0.8684841111860602,-0.8705667371560182,-0.5288235105813693,-0.14084337034851502,2.0,1,Connected democratic core
1.0,1.0,1.5,5.0,2.0,5.0,12.0,29.0,2.0,Voted,1,-1.423634916954216,-0.3884491925282636,0.6688668369168803,0.25952744239745473,-0.8294271255193882,-1.3166359443828068,2.0,0,At-risk democratic participants
3.0,3.0,3.25,7.0,1.0,5.0,18.0,65.0,1.0,Voted,1,1.025697510325725,0.8568406858745377,-0.8684841111860602,0.25952744239745473,0.974194564108725,0.6990084682474077,1.0,1,Connected democratic core
8.0,5.0,1.25,7.333333333333333,1.0,3.0,12.0,58.0,2.0,Voted,1,-1.773539549422779,1.064388998941671,-0.8684841111860602,-0.8705667371560182,-0.8294271255193882,0.3070776102359771,2.0,1,Connected democratic core
10.0,6.0,2.75,5.333333333333333,1.0,5.0,15.0,20.0,2.0,Voted,1,0.3258882453885992,-0.18090087946113026,-0.8684841111860602,0.25952744239745473,0.0723837192946684,-1.8205470475403605,2.0,1,Connected democratic core
10.0,3.0,3.0,6.666666666666667,1.0,3.0,16.0,55.0,2.0,Voted,1,0.6757928778571621,0.6492923728074044,-0.8684841111860602,-0.8705667371560182,0.37298733423268726,0.13910724251679257,2.0,1,Connected democratic core
7.0,6.0,2.75,7.666666666666667,2.0,1.0,13.0,38.0,2.0,Voted,1,0.3258882453885992,1.271937312008805,0.6688668369168803,-2.0006609167094913,-0.5288235105813693,-0.8127248412252531,2.0,1,Connected democratic core
6.0,5.0,3.0,6.666666666666667,1.0,6.0,17.0,64.0,1.0,Voted,1,0.6757928778571621,0.6492923728074044,-0.8684841111860602,0.8245745321741912,0.6735909491707062,0.6430183456743461,1.0,1,Connected democratic core
3.0,0.0,2.25,3.3333333333333335,1.0,4.0,22.0,35.0,1.0,Voted,1,-0.37392101954852686,-1.4261907578639312,-0.8684841111860602,-0.3055196473792817,2.1766090238608005,-0.9806952089444377,1.0,0,At-risk democratic participants
4.0,4.0,3.0,4.333333333333333,2.0,5.0,15.0,58.0,1.0,Did not vote,0,0.6757928778571621,-0.8035458186625309,0.6688668369168803,0.25952744239745473,0.0723837192946684,0.3070776102359771,1.0,2,Disengaged non-voters
7.0,5.0,3.0,6.0,1.0,4.0,23.0,50.0,1.0,Voted,1,0.6757928778571621,0.23419574667313706,-0.8684841111860602,-0.3055196473792817,2.4772126387988194,-0.14084337034851502,1.0,1,Connected democratic core
5.0,3.0,1.5,6.666666666666667,1.0,5.0,14.0,84.0,1.0,Voted,1,-1.423634916954216,0.6492923728074044,-0.8684841111860602,0.25952744239745473,-0.22821989564335046,1.7628207971355765,1.0,0,At-risk democratic participants
7.0,2.0,2.0,6.0,1.0,7.0,15.0,75.0,1.0,Voted,1,-0.7238256520170899,0.23419574667313706,-0.8684841111860602,1.3896216219509276,0.0723837192946684,1.2589096939780229,1.0,0,At-risk democratic participants
2.0,1.0,1.25,7.0,2.0,4.0,12.0,62.0,1.0,Voted,1,-1.773539549422779,0.8568406858745377,0.6688668369168803,-0.3055196473792817,-0.8294271255193882,0.5310381005282232,1.0,0,At-risk democratic participants
8.0,6.0,3.0,7.333333333333333,1.0,3.0,19.0,56.0,2.0,Voted,1,0.6757928778571621,1.064388998941671,-0.8684841111860602,-0.8705667371560182,1.274798179046744,0.19509736508985406,2.0,1,Connected democratic core
5.0,6.0,2.5,6.333333333333333,1.0,0.0,7.0,77.0,2.0,Did not vote,0,-0.024016387079963866,0.4417440597402704,-0.8684841111860602,-2.5657080064862274,-2.3324452002094826,1.3708899391241458,2.0,2,Disengaged non-voters
7.0,3.0,2.25,6.666666666666667,2.0,5.0,13.0,37.0,2.0,Voted,1,-0.37392101954852686,0.6492923728074044,0.6688668369168803,0.25952744239745473,-0.5288235105813693,-0.8687149637983147,2.0,0,At-risk democratic participants
4.0,2.0,2.75,4.333333333333333,2.0,4.0,18.0,59.0,1.0,Voted,1,0.3258882453885992,-0.8035458186625309,0.6688668369168803,-0.3055196473792817,0.974194564108725,0.3630677328090386,1.0,0,At-risk democratic participants
7.0,4.0,2.25,7.0,2.0,6.0,12.0,71.0,1.0,Voted,1,-0.37392101954852686,0.8568406858745377,0.6688668369168803,0.8245745321741912,-0.8294271255193882,1.0349492036857768,1.0,1,Connected democratic core
4.0,3.0,1.75,5.333333333333333,2.0,5.0,9.0,71.0,2.0,Voted,1,-1.0737302844856529,-0.18090087946113026,0.6688668369168803,0.25952744239745473,-1.7312379703334448,1.0349492036857768,2.0,0,At-risk democratic participants
9.0,5.0,3.25,5.666666666666667,1.0,4.0,16.0,68.0,1.0,Voted,1,1.025697510325725,0.026647433606003672,-0.8684841111860602,-0.3055196473792817,0.37298733423268726,0.8669788359665922,1.0,1,Connected democratic core
1.0,1.0,2.75,4.666666666666667,3.0,5.0,13.0,56.0,1.0,Voted,1,0.3258882453885992,-0.595997505595397,2.206217785019821,0.25952744239745473,-0.5288235105813693,0.19509736508985406,1.0,0,At-risk democratic participants
5.0,4.0,2.0,6.333333333333333,2.0,4.0,14.0,51.0,1.0,Voted,1,-0.7238256520170899,0.4417440597402704,0.6688668369168803,-0.3055196473792817,-0.22821989564335046,-0.08485324777545349,1.0,0,At-risk democratic participants
4.0,5.0,1.75,7.0,2.0,6.0,17.0,60.0,2.0,Voted,1,-1.0737302844856529,0.8568406858745377,0.6688668369168803,0.8245745321741912,0.6735909491707062,0.4190578553821001,2.0,0,At-risk democratic participants
7.0,4.0,3.0,5.666666666666667,1.0,5.0,14.0,39.0,2.0,Voted,1,0.6757928778571621,0.026647433606003672,-0.8684841111860602,0.25952744239745473,-0.22821989564335046,-0.7567347186521917,2.0,1,Connected democratic core
8.0,9.0,2.0,5.666666666666667,1.0,4.0,15.0,59.0,2.0,Voted,1,-0.7238256520170899,0.026647433606003672,-0.8684841111860602,-0.3055196473792817,0.0723837192946684,0.3630677328090386,2.0,1,Connected democratic core
5.0,5.0,2.6666666666666665,4.666666666666667,1.0,5.0,14.0,46.0,2.0,Voted,1,0.20925336789907795,-0.595997505595397,-0.8684841111860602,0.25952744239745473,-0.22821989564335046,-0.36480386064076104,2.0,1,Connected democratic core
4.0,4.0,3.0,4.0,1.0,4.0,10.0,44.0,2.0,Voted,1,0.6757928778571621,-1.0110941317296642,-0.8684841111860602,-0.3055196473792817,-1.430634355395426,-0.47678410578688407,2.0,0,At-risk democratic participants
8.0,7.0,3.5,6.333333333333333,1.0,6.0,18.0,43.0,1.0,Voted,1,1.3756021427942882,0.4417440597402704,-0.8684841111860602,0.8245745321741912,0.974194564108725,-0.5327742283599456,1.0,1,Connected democratic core
5.0,0.0,1.5,3.3333333333333335,2.0,5.0,12.0,52.0,2.0,Voted,1,-1.423634916954216,-1.4261907578639312,0.6688668369168803,0.25952744239745473,-0.8294271255193882,-0.028863125202391978,2.0,0,At-risk democratic participants
8.0,6.0,2.75,6.0,2.0,1.0,14.0,60.0,2.0,Voted,1,0.3258882453885992,0.23419574667313706,0.6688668369168803,-2.0006609167094913,-0.22821989564335046,0.4190578553821001,2.0,1,Connected democratic core
4.0,3.0,1.75,2.6666666666666665,1.0,5.0,14.0,75.0,2.0,Voted,1,-1.0737302844856529,-1.8412873839981987,-0.8684841111860602,0.25952744239745473,-0.22821989564335046,1.2589096939780229,2.0,0,At-risk democratic participants
2.0,2.0,2.75,6.333333333333333,2.0,5.0,12.0,63.0,2.0,Voted,1,0.3258882453885992,0.4417440597402704,0.6688668369168803,0.25952744239745473,-0.8294271255193882,0.5870282231012847,2.0,0,At-risk democratic participants
3.0,1.0,2.75,5.333333333333333,2.0,7.0,18.0,39.0,1.0,Voted,1,0.3258882453885992,-0.18090087946113026,0.6688668369168803,1.3896216219509276,0.974194564108725,-0.7567347186521917,1.0,0,At-risk democratic participants
5.0,3.0,2.25,4.666666666666667,2.0,4.0,13.0,64.0,1.0,Did not vote,0,-0.37392101954852686,-0.595997505595397,0.6688668369168803,-0.3055196473792817,-0.5288235105813693,0.6430183456743461,1.0,2,Disengaged non-voters
7.0,6.0,1.5,7.0,2.0,3.0,12.0,68.0,2.0,Voted,1,-1.423634916954216,0.8568406858745377,0.6688668369168803,-0.8705667371560182,-0.8294271255193882,0.8669788359665922,2.0,1,Connected democratic core
7.0,5.0,2.75,6.0,1.0,4.0,15.0,67.0,1.0,Voted,1,0.3258882453885992,0.23419574667313706,-0.8684841111860602,-0.3055196473792817,0.0723837192946684,0.8109887133935307,1.0,1,Connected democratic core
3.0,0.0,1.5,5.666666666666667,1.0,5.0,12.0,60.0,1.0,Voted,1,-1.423634916954216,0.026647433606003672,-0.8684841111860602,0.25952744239745473,-0.8294271255193882,0.4190578553821001,1.0,0,At-risk democratic participants
5.0,2.0,1.5,7.0,1.0,4.0,15.0,40.0,1.0,Did not vote,0,-1.423634916954216,0.8568406858745377,-0.8684841111860602,-0.3055196473792817,0.0723837192946684,-0.7007445960791301,1.0,2,Disengaged non-voters
3.0,1.0,1.75,4.333333333333333,2.0,5.0,12.0,39.0,2.0,Did not vote,0,-1.0737302844856529,-0.8035458186625309,0.6688668369168803,0.25952744239745473,-0.8294271255193882,-0.7567347186521917,2.0,2,Disengaged non-voters
5.0,3.0,2.0,6.666666666666667,2.0,5.0,12.0,35.0,2.0,Voted,1,-0.7238256520170899,0.6492923728074044,0.6688668369168803,0.25952744239745473,-0.8294271255193882,-0.9806952089444377,2.0,0,At-risk democratic participants
3.0,4.0,2.5,3.6666666666666665,2.0,3.0,13.0,55.0,2.0,Voted,1,-0.024016387079963866,-1.2186424447967978,0.6688668369168803,-0.8705667371560182,-0.5288235105813693,0.13910724251679257,2.0,0,At-risk democratic participants
2.0,4.0,2.5,5.666666666666667,2.0,4.0,15.0,66.0,2.0,Voted,1,-0.024016387079963866,0.026647433606003672,0.6688668369168803,-0.3055196473792817,0.0723837192946684,0.7549985908204692,2.0,0,At-risk democratic participants
6.0,1.0,3.5,8.666666666666666,1.0,0.0,18.0,59.0,2.0,Voted,1,1.3756021427942882,1.894582251210205,-0.8684841111860602,-2.5657080064862274,0.974194564108725,0.3630677328090386,2.0,1,Connected democratic core
4.0,6.0,2.25,4.0,2.0,3.0,10.0,75.0,2.0,Voted,1,-0.37392101954852686,-1.0110941317296642,0.6688668369168803,-0.8705667371560182,-1.430634355395426,1.2589096939780229,2.0,0,At-risk democratic participants
8.0,5.0,3.0,6.0,1.0,5.0,14.0,61.0,2.0,Voted,1,0.6757928778571621,0.23419574667313706,-0.8684841111860602,0.25952744239745473,-0.22821989564335046,0.4750479779551616,2.0,1,Connected democratic core
6.0,4.0,1.75,6.666666666666667,2.0,5.0,8.0,42.0,2.0,Voted,1,-1.0737302844856529,0.6492923728074044,0.6688668369168803,0.25952744239745473,-2.0318415852714637,-0.5887643509330072,2.0,0,At-risk democratic participants
3.0,2.0,2.75,6.666666666666667,2.0,5.0,19.0,33.0,1.0,Did not vote,0,0.3258882453885992,0.6492923728074044,0.6688668369168803,0.25952744239745473,1.274798179046744,-1.0926754540905608,1.0,2,Disengaged non-voters
8.0,5.0,2.75,8.0,2.0,5.0,12.0,65.0,1.0,Did not vote,0,0.3258882453885992,1.4794856250759383,0.6688668369168803,0.25952744239745473,-0.8294271255193882,0.6990084682474077,1.0,2,Disengaged non-voters
7.0,1.0,2.0,5.0,1.0,3.0,14.0,56.0,2.0,Voted,1,-0.7238256520170899,-0.3884491925282636,-0.8684841111860602,-0.8705667371560182,-0.22821989564335046,0.19509736508985406,2.0,0,At-risk democratic participants
